add84, PC=0, Tile=2
icmp85, PC=1, Tile=5
br86, PC=2, Tile=2
phi0, PC=3, Tile=2
trunc1, PC=4, Tile=2
getelementptr5, PC=5, Tile=2
getelementptr12, PC=6, Tile=2
add18, PC=4, Tile=5
add24, PC=5, Tile=5
mul31, PC=7, Tile=2
add39, PC=6, Tile=5
add52, PC=7, Tile=5
add73, PC=9, Tile=2
mul2, PC=8, Tile=5
load6, PC=10, Tile=5
load13, PC=11, Tile=5
getelementptr19, PC=5, Tile=4
getelementptr25, PC=6, Tile=4
and32, PC=8, Tile=6
getelementptr40, PC=7, Tile=6
load44, PC=6, Tile=6
getelementptr53, PC=8, Tile=4
udiv55, PC=5, Tile=3
mul69, PC=8, Tile=7
getelementptr74, PC=10, Tile=6
mul3, PC=9, Tile=4
load20, PC=7, Tile=4
getelementptr33, PC=9, Tile=6
sdiv45, PC=11, Tile=6
load54, PC=10, Tile=4
zext56, PC=12, Tile=6
load60, PC=11, Tile=4
and70, PC=9, Tile=7
add4, PC=10, Tile=1
sext21, PC=12, Tile=4
add27, PC=10, Tile=9
load34, PC=10, Tile=7
add35, PC=11, Tile=9
add46, PC=10, Tile=8
getelementptr57, PC=13, Tile=6
sdiv61, PC=12, Tile=9
add62, PC=13, Tile=9
getelementptr71, PC=11, Tile=1
store75, PC=12, Tile=1
add78, PC=11, Tile=8
add80, PC=14, Tile=9
sext7, PC=11, Tile=0
getelementptr22, PC=15, Tile=9
sext28, PC=13, Tile=1
sext36, PC=14, Tile=1
getelementptr42, PC=11, Tile=7
sext47, PC=16, Tile=9
sext63, PC=15, Tile=1
add67, PC=13, Tile=8
load72, PC=12, Tile=0
add79, PC=17, Tile=9
sext81, PC=15, Tile=10
getelementptr8, PC=13, Tile=0
getelementptr14, PC=14, Tile=0
load23, PC=16, Tile=1
getelementptr29, PC=15, Tile=0
getelementptr37, PC=15, Tile=3
getelementptr48, PC=17, Tile=8
store51, PC=16, Tile=10
store58, PC=17, Tile=1
getelementptr64, PC=16, Tile=0
getelementptr76, PC=14, Tile=8
getelementptr82, PC=16, Tile=11
load9, PC=15, Tile=8
store11, PC=17, Tile=0
load15, PC=18, Tile=0
store17, PC=16, Tile=8
store26, PC=20, Tile=8
store30, PC=17, Tile=10
load38, PC=16, Tile=3
store43, PC=17, Tile=3
load49, PC=18, Tile=10
store59, PC=18, Tile=3
load65, PC=19, Tile=10
store68, PC=22, Tile=3
store77, PC=20, Tile=10
store83, PC=18, Tile=11
store10, PC=20, Tile=7
store16, PC=22, Tile=7
store41, PC=19, Tile=3
store50, PC=21, Tile=7
store66, PC=20, Tile=11
Achieved DynamicPlacement_II is 8
threshold is 1
