add84, PC=0, Tile=1
icmp85, PC=1, Tile=5
br86, PC=2, Tile=1
phi0, PC=3, Tile=1
trunc1, PC=4, Tile=1
getelementptr5, PC=5, Tile=1
getelementptr12, PC=6, Tile=1
add18, PC=4, Tile=5
add24, PC=5, Tile=5
mul31, PC=8, Tile=1
add39, PC=6, Tile=5
add52, PC=7, Tile=5
add73, PC=4, Tile=2
mul2, PC=9, Tile=5
load6, PC=10, Tile=5
load13, PC=7, Tile=6
getelementptr19, PC=5, Tile=2
getelementptr25, PC=6, Tile=2
and32, PC=9, Tile=6
getelementptr40, PC=8, Tile=6
load44, PC=6, Tile=6
getelementptr53, PC=8, Tile=2
udiv55, PC=6, Tile=3
mul69, PC=9, Tile=2
getelementptr74, PC=5, Tile=6
mul3, PC=10, Tile=2
load20, PC=7, Tile=2
getelementptr33, PC=10, Tile=6
sdiv45, PC=11, Tile=6
load54, PC=9, Tile=7
zext56, PC=8, Tile=9
load60, PC=6, Tile=7
and70, PC=10, Tile=7
add4, PC=11, Tile=9
sext21, PC=12, Tile=7
add27, PC=14, Tile=7
load34, PC=11, Tile=7
add35, PC=15, Tile=7
add46, PC=11, Tile=3
getelementptr57, PC=9, Tile=9
sdiv61, PC=7, Tile=13
add62, PC=12, Tile=0
getelementptr71, PC=11, Tile=10
store75, PC=10, Tile=10
add78, PC=14, Tile=3
add80, PC=13, Tile=0
sext7, PC=12, Tile=4
getelementptr22, PC=13, Tile=13
sext28, PC=15, Tile=10
sext36, PC=16, Tile=10
getelementptr42, PC=12, Tile=13
sext47, PC=13, Tile=4
sext63, PC=14, Tile=9
add67, PC=8, Tile=12
load72, PC=15, Tile=13
add79, PC=17, Tile=13
sext81, PC=14, Tile=0
getelementptr8, PC=15, Tile=4
getelementptr14, PC=16, Tile=4
load23, PC=17, Tile=9
getelementptr29, PC=16, Tile=13
getelementptr37, PC=17, Tile=11
getelementptr48, PC=14, Tile=12
store51, PC=18, Tile=13
store58, PC=13, Tile=9
getelementptr64, PC=17, Tile=4
getelementptr76, PC=16, Tile=12
getelementptr82, PC=16, Tile=3
load9, PC=17, Tile=12
store11, PC=18, Tile=4
load15, PC=18, Tile=8
store17, PC=22, Tile=3
store26, PC=24, Tile=3
store30, PC=17, Tile=8
load38, PC=18, Tile=11
store43, PC=18, Tile=12
load49, PC=19, Tile=8
store59, PC=26, Tile=3
load65, PC=23, Tile=11
store68, PC=19, Tile=12
store77, PC=21, Tile=4
store83, PC=20, Tile=11
store10, PC=22, Tile=8
store16, PC=20, Tile=8
store41, PC=19, Tile=11
store50, PC=21, Tile=8
store66, PC=27, Tile=12
Achieved DynamicPlacement_II is 7
threshold is 1
