add84, PC=0, Tile=5
icmp85, PC=1, Tile=1
br86, PC=2, Tile=5
phi0, PC=3, Tile=5
trunc1, PC=4, Tile=5
getelementptr5, PC=5, Tile=5
getelementptr12, PC=6, Tile=5
add18, PC=4, Tile=1
add24, PC=5, Tile=1
mul31, PC=7, Tile=5
add39, PC=6, Tile=1
add52, PC=7, Tile=1
add73, PC=8, Tile=5
mul2, PC=8, Tile=1
load6, PC=9, Tile=1
load13, PC=10, Tile=1
getelementptr19, PC=9, Tile=5
getelementptr25, PC=10, Tile=5
and32, PC=11, Tile=1
getelementptr40, PC=12, Tile=1
load44, PC=13, Tile=1
getelementptr53, PC=11, Tile=5
udiv55, PC=5, Tile=6
mul69, PC=12, Tile=5
getelementptr74, PC=14, Tile=1
mul3, PC=13, Tile=5
load20, PC=14, Tile=5
getelementptr33, PC=15, Tile=1
sdiv45, PC=16, Tile=1
load54, PC=15, Tile=5
zext56, PC=17, Tile=1
load60, PC=16, Tile=5
and70, PC=17, Tile=5
add4, PC=18, Tile=1
sext21, PC=18, Tile=5
add27, PC=19, Tile=5
load34, PC=20, Tile=5
add35, PC=21, Tile=5
add46, PC=14, Tile=6
getelementptr57, PC=19, Tile=1
sdiv61, PC=22, Tile=5
add62, PC=24, Tile=5
getelementptr71, PC=20, Tile=1
store75, PC=21, Tile=1
add78, PC=15, Tile=6
add80, PC=14, Tile=0
sext7, PC=19, Tile=0
getelementptr22, PC=20, Tile=0
sext28, PC=22, Tile=1
sext36, PC=23, Tile=1
getelementptr42, PC=21, Tile=0
sext47, PC=15, Tile=0
sext63, PC=25, Tile=1
add67, PC=23, Tile=6
load72, PC=22, Tile=0
add79, PC=23, Tile=0
sext81, PC=16, Tile=0
getelementptr8, PC=24, Tile=0
getelementptr14, PC=25, Tile=0
load23, PC=26, Tile=1
getelementptr29, PC=26, Tile=0
getelementptr37, PC=24, Tile=6
getelementptr48, PC=16, Tile=6
store51, PC=27, Tile=0
store58, PC=28, Tile=0
getelementptr64, PC=29, Tile=0
getelementptr76, PC=25, Tile=6
getelementptr82, PC=18, Tile=6
load9, PC=26, Tile=6
store11, PC=30, Tile=0
load15, PC=31, Tile=0
store17, PC=29, Tile=6
store26, PC=27, Tile=6
store30, PC=32, Tile=0
load38, PC=30, Tile=6
store43, PC=31, Tile=6
load49, PC=18, Tile=0
store59, PC=32, Tile=6
load65, PC=33, Tile=0
store68, PC=34, Tile=6
store77, PC=34, Tile=0
store83, PC=33, Tile=6
store10, PC=35, Tile=0
store16, PC=36, Tile=0
store41, PC=35, Tile=6
store50, PC=40, Tile=0
store66, PC=36, Tile=6
Achieved DynamicPlacement_II is 23
threshold is 1
