load89, PC=0, Tile=4
mul91, PC=1, Tile=5
sext92, PC=2, Tile=5
icmp93, PC=3, Tile=5
br94, PC=4, Tile=4
phi0, PC=5, Tile=4
phi2, PC=5, Tile=5
call7, PC=6, Tile=5
load10, PC=6, Tile=4
load14, PC=7, Tile=4
load21, PC=8, Tile=4
load29, PC=9, Tile=4
load90, PC=10, Tile=4
phi1, PC=12, Tile=4
trunc3, PC=13, Tile=4
sitofp11, PC=14, Tile=4
sub15, PC=8, Tile=5
sitofp17, PC=8, Tile=8
add22, PC=6, Tile=8
add30, PC=7, Tile=5
add33, PC=6, Tile=9
sub37, PC=9, Tile=5
add42, PC=10, Tile=5
add45, PC=7, Tile=9
add48, PC=8, Tile=9
add51, PC=9, Tile=9
add54, PC=11, Tile=5
add57, PC=7, Tile=8
add60, PC=9, Tile=8
add63, PC=10, Tile=9
add66, PC=15, Tile=5
add69, PC=10, Tile=8
add72, PC=6, Tile=1
add78, PC=7, Tile=1
add82, PC=11, Tile=9
call88, PC=7, Tile=6
sdiv4, PC=14, Tile=9
srem5, PC=15, Tile=9
sitofp16, PC=9, Tile=6
getelementptr23, PC=9, Tile=1
getelementptr31, PC=12, Tile=9
getelementptr34, PC=13, Tile=9
sitofp38, PC=10, Tile=6
getelementptr43, PC=11, Tile=1
getelementptr46, PC=16, Tile=9
getelementptr49, PC=10, Tile=1
getelementptr52, PC=11, Tile=6
getelementptr55, PC=12, Tile=8
getelementptr58, PC=9, Tile=0
getelementptr61, PC=10, Tile=0
getelementptr64, PC=11, Tile=8
getelementptr67, PC=16, Tile=8
getelementptr70, PC=12, Tile=1
getelementptr73, PC=11, Tile=0
getelementptr79, PC=12, Tile=0
fdiv81, PC=15, Tile=0
getelementptr83, PC=12, Tile=6
mul6, PC=16, Tile=1
sitofp8, PC=15, Tile=6
fdiv18, PC=13, Tile=8
sub25, PC=16, Tile=6
fdiv39, PC=15, Tile=1
store53, PC=13, Tile=1
store56, PC=13, Tile=6
store59, PC=14, Tile=1
store62, PC=13, Tile=0
store65, PC=14, Tile=6
store68, PC=25, Tile=8
store74, PC=19, Tile=1
add75, PC=17, Tile=6
store84, PC=16, Tile=10
fadd9, PC=19, Tile=6
fmul19, PC=14, Tile=0
sitofp26, PC=17, Tile=10
fmul40, PC=26, Tile=8
mul76, PC=18, Tile=10
sext85, PC=17, Tile=0
fdiv12, PC=27, Tile=0
fadd27, PC=19, Tile=10
sitofp77, PC=29, Tile=0
getelementptr86, PC=19, Tile=0
fmul13, PC=28, Tile=2
fdiv28, PC=20, Tile=10
store35, PC=32, Tile=10
store47, PC=33, Tile=10
store80, PC=30, Tile=2
store87, PC=23, Tile=10
fsub20, PC=29, Tile=2
store32, PC=24, Tile=10
fdiv36, PC=25, Tile=10
store50, PC=26, Tile=10
store71, PC=21, Tile=2
store24, PC=31, Tile=2
fsub41, PC=33, Tile=2
store44, PC=34, Tile=2
Achieved DynamicPlacement_II is 11
threshold is 1
